日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%,
106/12/02,104 台北二,胡蘿蔔,28.6,7.7,3.6,11.1,52,"11,493",18,127572.3
106/12/03,104 台北二,胡蘿蔔,14.2,7.2,3.3,7.8,-30,"11,460",0,89388
106/12/05,104 台北二,胡蘿蔔,18.1,7.6,3.3,8.8,13,"13,328",16,117286.4
106/12/06,104 台北二,胡蘿蔔,27,7.2,3.2,10.4,18,"12,698",-5,132059.2
106/12/07,104 台北二,胡蘿蔔,18.3,6.6,3.3,8.3,-20,"11,350",-11,94205
106/12/08,104 台北二,胡蘿蔔,12.9,6.5,3.4,7.1,-14,"11,565",2,82111.5
106/12/09,104 台北二,胡蘿蔔,25.6,6.5,3.2,9.7,37,"14,632",27,141930.4
106/12/10,104 台北二,胡蘿蔔,12.7,6.8,3.7,7.3,-25,"11,610",-21,84753
106/12/12,104 台北二,胡蘿蔔,18.6,7.5,3.6,8.9,22,"11,370",-2,101193
106/12/13,104 台北二,胡蘿蔔,29.2,7.3,3.5,10.9,22,"14,030",23,152927
106/12/14,104 台北二,胡蘿蔔,19.3,7.4,3.7,9,-17,"11,420",-19,102780
106/12/15,104 台北二,胡蘿蔔,16.4,8.1,4.9,9.1,1,"11,570",1,105287
106/12/16,104 台北二,胡蘿蔔,28.4,7.6,3.5,10.9,20,"13,734",19,149700.6
106/12/17,104 台北二,胡蘿蔔,15.7,6.9,2.8,7.9,-28,"11,650",-15,92035
106/12/19,104 台北二,胡蘿蔔,17.7,7.6,3.1,8.7,10,"13,290",14,115623
106/12/20,104 台北二,胡蘿蔔,32.6,8,3,11.9,37,"14,237",7,169420.3
106/12/21,104 台北二,胡蘿蔔,20.7,9,3.9,10.3,-13,"9,530",-33,98159
106/12/22,104 台北二,胡蘿蔔,18.1,8.8,3.9,9.7,-6,"11,530",21,111841
106/12/23,104 台北二,胡蘿蔔,27.7,8.7,3.7,11.5,19,"13,110",14,150765
106/12/24,104 台北二,胡蘿蔔,15.9,6.7,3.4,7.9,-31,"12,160",-7,96064
106/12/26,104 台北二,胡蘿蔔,15.9,7.5,3.5,8.4,6,"11,920",-2,100128
106/12/27,104 台北二,胡蘿蔔,27.2,7.4,3.2,10.6,26,"12,488",5,132372.8
106/12/28,104 台北二,胡蘿蔔,14.8,6.2,3.3,7.3,-31,"11,100",-11,81030
106/12/29,104 台北二,胡蘿蔔,13.6,4.5,1.9,5.8,-21,"14,280",29,82824
106/12/30,104 台北二,胡蘿蔔,23.7,5.6,1.7,8.4,45,"13,317",-7,111862.8
106/12/31,104 台北二,胡蘿蔔,17,4.4,1.7,6.4,-24,"11,140",-16,71296
107/01/02,104 台北二,胡蘿蔔,20.8,11.6,5,12.1,89,"6,835",-39,82703.5
107/01/03,104 台北二,胡蘿蔔,29.9,11,4,13.3,10,"11,439",67,152138.7
107/01/04,104 台北二,胡蘿蔔,17.7,8.6,3.1,9.3,-30,"11,030",-4,102579
107/01/05,104 台北二,胡蘿蔔,17.5,9.1,3.3,9.6,3,"11,620",5,111552
107/01/06,104 台北二,胡蘿蔔,29,10.8,4.6,13.2,38,"10,500",-10,138600
107/01/07,104 台北二,胡蘿蔔,17.5,9.8,4.4,10.3,-22,"9,020",-14,92906
107/01/09,104 台北二,胡蘿蔔,19.8,12.2,4.2,12.1,17,"8,430",-7,102003
107/01/10,104 台北二,胡蘿蔔,30,12.3,5.3,14.5,20,"11,248",33,163096
107/01/11,104 台北二,胡蘿蔔,18.1,11.5,5.3,11.6,-20,"10,300",-8,119480
107/01/12,104 台北二,胡蘿蔔,19,10.8,5.5,11.4,-2,"10,570",3,120498
107/01/13,104 台北二,胡蘿蔔,25.9,11.9,5.3,13.4,18,"12,126",15,162488.4
107/01/14,104 台北二,胡蘿蔔,19.4,10.9,5.9,11.6,-13,"12,470",3,144652
107/01/16,104 台北二,胡蘿蔔,19.8,12.1,6.6,12.6,9,"11,390",-9,143514
107/01/17,104 台北二,胡蘿蔔,27,10.9,4.9,12.9,2,"13,639",20,175943.1
107/01/18,104 台北二,胡蘿蔔,17.3,9,4.7,9.8,-24,"11,790",-14,115542
107/01/19,104 台北二,胡蘿蔔,17.3,9.3,4.9,10,2,"8,500",-28,85000
107/01/20,104 台北二,胡蘿蔔,24.1,8.3,4.1,10.6,6,"10,480",23,111088
107/01/21,104 台北二,胡蘿蔔,18,8.5,3.9,9.5,-10,"11,100",6,105450
107/01/23,104 台北二,胡蘿蔔,18.7,9.9,6.1,10.9,15,"9,760",-12,106384
107/01/24,104 台北二,胡蘿蔔,26.1,9.6,6,12.2,12,"10,797",11,131723.4
107/01/25,104 台北二,胡蘿蔔,15.3,8.4,4.1,8.9,-27,"10,370",-4,92293
107/01/26,104 台北二,胡蘿蔔,15,8.1,3.2,8.5,-4,"10,960",6,93160
107/01/27,104 台北二,胡蘿蔔,20.5,8.4,3.4,9.8,15,"11,803",8,115669.4
107/01/28,104 台北二,胡蘿蔔,16,9.9,5.5,10.2,4,"8,370",-29,85374
107/01/30,104 台北二,胡蘿蔔,19.3,9.4,5.8,10.6,4,"9,660",15,102396
107/01/31,104 台北二,胡蘿蔔,27.8,10.7,6,13.2,25,"10,211",6,134785.2
107/02/01,104 台北二,胡蘿蔔,18.2,10.3,4.9,10.8,-18,"11,045",8,119286
107/02/02,104 台北二,胡蘿蔔,17.3,9.7,6.6,10.6,-2,"10,402",-6,110261.2
107/02/03,104 台北二,胡蘿蔔,26,9.9,6,12.4,17,"12,097",16,150002.8
107/02/04,104 台北二,胡蘿蔔,19.2,9.8,6.1,11,-11,"11,440",-5,125840
107/02/06,104 台北二,胡蘿蔔,19.8,10.5,6.9,11.7,6,"10,120",-12,118404
107/02/07,104 台北二,胡蘿蔔,30.9,11.7,6.9,14.6,25,"10,740",6,156804
107/02/08,104 台北二,胡蘿蔔,17.9,12.5,8.7,12.8,-12,"10,400",-3,133120
107/02/09,104 台北二,胡蘿蔔,18.5,12.8,10.2,13.4,5,"12,566",21,168384.4
107/02/10,104 台北二,胡蘿蔔,23.6,11.3,7.5,13,-3,"13,803",10,179439
107/02/11,104 台北二,胡蘿蔔,17.2,11.8,6.7,11.9,-8,"12,720",-8,151368
107/02/12,104 台北二,胡蘿蔔,17.5,12.4,9.3,12.8,8,"11,830",-7,151424
107/02/13,104 台北二,胡蘿蔔,18.2,12.6,6.3,12.5,-2,"15,660",32,195750
107/02/14,104 台北二,胡蘿蔔,21.5,11.2,5.6,12.1,-3,"19,850",27,240185
107/02/15,104 台北二,胡蘿蔔,25.1,18,10.1,17.8,47,900,-95,16020
107/02/21,104 台北二,胡蘿蔔,20.7,15,8.4,14.8,-17,"10,160",999,150368
107/02/22,104 台北二,胡蘿蔔,17.7,14.6,8,13.9,-6,"11,150",10,154985
107/02/23,104 台北二,胡蘿蔔,18.2,13.9,9.1,13.8,-1,"14,169",27,195532.2
107/02/27,104 台北二,胡蘿蔔,27.7,14.6,9.8,16.3,18,"16,442",16,268004.6
107/02/28,104 台北二,胡蘿蔔,26.3,12.9,7.5,14.5,-11,"14,998",-9,217471
107/03/01,104 台北二,胡蘿蔔,16.3,11.6,6.3,11.5,-21,"12,530",-16,144095
107/03/02,104 台北二,胡蘿蔔,17.3,12.3,8.2,12.5,9,"10,685",-15,133562.5
107/03/03,104 台北二,胡蘿蔔,26.9,12.2,8.2,14.3,14,"12,197",14,174417.1
107/03/04,104 台北二,胡蘿蔔,16.1,11.1,7.8,11.4,-20,"13,584",11,154857.6
107/03/08,104 台北二,胡蘿蔔,30.2,13.1,9.1,15.7,38,"13,302",-2,208841.4
107/03/09,104 台北二,胡蘿蔔,18.7,10.8,7.7,11.7,-25,"10,356",-22,121165.2
107/03/10,104 台北二,胡蘿蔔,24,11.9,9.6,13.9,19,"10,820",4,150398
107/03/11,104 台北二,胡蘿蔔,19.3,12.6,10.3,13.5,-3,"11,310",5,152685
107/03/13,104 台北二,胡蘿蔔,19,12.9,9.3,13.4,-1,"12,515",11,167701
107/03/14,104 台北二,胡蘿蔔,23.4,11.2,7.2,12.8,-4,"13,424",7,171827.2
107/03/15,104 台北二,胡蘿蔔,17.4,10.3,6.9,11.1,-13,"9,998",-26,110977.8
107/03/16,104 台北二,胡蘿蔔,17.5,11,6.4,11.4,3,"10,121",1,115379.4
107/03/17,104 台北二,胡蘿蔔,23.4,11.4,7.5,13,14,"10,794",7,140322
107/03/18,104 台北二,胡蘿蔔,19.1,10.4,7.2,11.5,-12,"11,170",3,128455
107/03/20,104 台北二,胡蘿蔔,17.2,10.8,7.3,11.4,-1,"11,200",0,127680
107/03/21,104 台北二,胡蘿蔔,24.4,9.4,5.7,11.7,3,"11,432",2,133754.4
107/03/22,104 台北二,胡蘿蔔,18.5,11.1,8.2,12,3,"8,850",-23,106200
107/03/23,104 台北二,胡蘿蔔,16.4,9.2,5,9.8,-18,"12,190",38,119462
107/03/24,104 台北二,胡蘿蔔,24.7,9.8,6.7,12.2,24,"10,458",-14,127587.6
107/03/25,104 台北二,胡蘿蔔,19.2,9.8,6.8,11.1,-9,"11,490",10,127539
107/03/27,104 台北二,胡蘿蔔,17.9,10.7,7,11.4,3,"11,075",-4,126255
107/03/28,104 台北二,胡蘿蔔,28.4,11.8,9,14.5,27,"9,230",-17,133835
107/03/29,104 台北二,胡蘿蔔,18.7,11.7,8.1,12.4,-14,"9,900",7,122760
107/03/30,104 台北二,胡蘿蔔,16.7,10.9,7.3,11.3,-9,"10,500",6,118650
107/03/31,104 台北二,胡蘿蔔,23.9,12.4,7.2,13.7,21,"10,549",0,144521.3
107/04/01,104 台北二,胡蘿蔔,17.6,10.8,7.7,11.6,-15,"12,102",15,140383.2
107/04/03,104 台北二,胡蘿蔔,18.7,12.8,8.5,13.1,13,"10,920",-10,143052
107/04/04,104 台北二,胡蘿蔔,25.3,13.4,8.4,14.8,13,"13,781",26,203958.8
107/04/07,104 台北二,胡蘿蔔,28.6,14.2,9.1,16.1,9,"11,274",-18,181511.4
107/04/08,104 台北二,胡蘿蔔,23.1,14.8,9.4,15.3,-5,"11,400",1,174420
107/04/10,104 台北二,胡蘿蔔,22.1,16.5,9.9,16.3,7,"11,940",5,194622
107/04/11,104 台北二,胡蘿蔔,29.4,15.1,11.2,17.2,6,"12,526",5,215447.2
107/04/12,104 台北二,胡蘿蔔,19.2,13.5,10.1,14,-19,"11,450",-9,160300
107/04/13,104 台北二,胡蘿蔔,17.3,10.7,6.7,11.2,-20,"11,130",-3,124656
107/04/14,104 台北二,胡蘿蔔,23.1,10.7,6.6,12.4,11,"12,097",9,150002.8
107/04/15,104 台北二,胡蘿蔔,18.8,10.8,6.9,11.6,-6,"10,420",-14,120872
107/04/17,104 台北二,胡蘿蔔,18.7,12.4,6.3,12.5,8,"10,835",4,135437.5
107/04/18,104 台北二,胡蘿蔔,27.9,12,7.8,14.3,14,"10,144",-6,145059.2
107/04/19,104 台北二,胡蘿蔔,17.6,13.2,8,13,-9,"9,190",-9,119470
107/04/20,104 台北二,胡蘿蔔,18.6,14,8.7,13.9,7,"9,390",2,130521
107/04/21,104 台北二,胡蘿蔔,25.2,13.7,7.6,14.8,6,"11,198",19,165730.4
107/04/22,104 台北二,胡蘿蔔,17.4,11.2,7.2,11.6,-22,"11,400",2,132240
107/04/24,104 台北二,胡蘿蔔,19.9,11.9,8,12.8,10,"10,320",-9,132096
107/04/25,104 台北二,胡蘿蔔,27.4,12.6,9.3,14.9,16,"9,350",-9,139315
107/04/26,104 台北二,胡蘿蔔,18.5,11.2,8.2,12,-19,"9,500",2,114000
107/04/27,104 台北二,胡蘿蔔,19,11.9,8.5,12.7,6,"9,140",-4,116078
107/04/28,104 台北二,胡蘿蔔,26,12.4,6.4,13.9,9,"9,593",5,133342.7
107/04/29,104 台北二,胡蘿蔔,19.4,11.7,8.3,12.6,-9,"10,780",12,135828
107/05/01,104 台北二,胡蘿蔔,18.6,11.4,7.8,12.1,-4,"10,470",-3,126687
107/05/02,104 台北二,胡蘿蔔,29.9,10,5.7,13.1,8,"11,248",7,147348.8
107/05/03,104 台北二,胡蘿蔔,18.1,10.7,5.6,11.2,-15,"8,330",-26,93296
107/05/04,104 台北二,胡蘿蔔,19.1,10.5,5.1,11.1,-1,"8,600",3,95460
107/05/05,104 台北二,胡蘿蔔,33.4,13.3,7.9,16.2,46,"8,389",-2,135901.8
107/05/06,104 台北二,胡蘿蔔,21.2,12.7,7.2,13.3,-18,"9,015",7,119899.5
107/05/08,104 台北二,胡蘿蔔,21.2,12.4,8.2,13.3,0,"9,720",8,129276
107/05/09,104 台北二,胡蘿蔔,30.7,12.5,7.6,15.2,14,"10,106",4,153611.2
107/05/10,104 台北二,胡蘿蔔,18.8,11.7,7.2,12.2,-20,"9,170",-9,111874
107/05/11,104 台北二,胡蘿蔔,20.6,13.5,8.8,14,15,"8,366",-9,117124
107/05/12,104 台北二,胡蘿蔔,28,13.2,7.5,15,7,"9,408",12,141120
107/05/13,104 台北二,胡蘿蔔,18.8,12.5,8.6,13,-13,"9,360",-1,121680
107/05/15,104 台北二,胡蘿蔔,21.8,14.4,8.5,14.7,13,"8,460",-10,124362
107/05/16,104 台北二,胡蘿蔔,28.4,13.5,7.7,15.3,4,"11,544",36,176623.2
107/05/17,104 台北二,胡蘿蔔,18.6,11.9,6.7,12.2,-20,"10,065",-13,122793
107/05/18,104 台北二,胡蘿蔔,18.6,12.5,7.6,12.8,5,"9,390",-7,120192
107/05/19,104 台北二,胡蘿蔔,27,11.7,8.9,14.2,11,"9,570",2,135894
107/05/20,104 台北二,胡蘿蔔,18.7,12.4,8.1,12.8,-10,"8,870",-7,113536
107/05/22,104 台北二,胡蘿蔔,21.8,12.6,8.1,13.6,6,"9,030",2,122808
107/05/23,104 台北二,胡蘿蔔,31.1,13.7,9.4,16.4,21,"9,702",7,159112.8
107/05/24,104 台北二,胡蘿蔔,20.6,13.7,8.9,14.1,-14,"8,760",-10,123516
107/05/25,104 台北二,胡蘿蔔,20.6,14.2,7.6,14.2,1,"9,053",3,128552.6
107/05/26,104 台北二,胡蘿蔔,27.1,12.8,9.6,15,6,"10,496",16,157440
107/05/27,104 台北二,胡蘿蔔,19.3,12.8,8.4,13.2,-12,"10,240",-2,135168
107/05/29,104 台北二,胡蘿蔔,22.8,14,9.2,14.8,12,"9,890",-3,146372
107/05/30,104 台北二,胡蘿蔔,27.7,12.7,8.7,14.9,1,"11,137",13,165941.3
107/05/31,104 台北二,胡蘿蔔,19.5,12.7,7.9,13.1,-12,"9,640",-13,126284
107/06/01,104 台北二,胡蘿蔔,18.5,11.7,8.1,12.4,-5,"10,510",9,130324
107/06/02,104 台北二,胡蘿蔔,31,13.5,8.9,16.1,30,"9,619",-8,154865.9
107/06/03,104 台北二,胡蘿蔔,20.7,13.9,8.4,14.1,-12,"9,490",-1,133809
107/06/05,104 台北二,胡蘿蔔,20.9,13.4,8.3,13.9,-1,"10,650",12,148035
107/06/06,104 台北二,胡蘿蔔,30.9,13.8,8.8,16.2,17,"9,879",-7,160039.8
107/06/07,104 台北二,胡蘿蔔,20.1,14.1,10.4,14.5,-10,"8,140",-18,118030
107/06/08,104 台北二,胡蘿蔔,18.1,12.9,8.6,13.1,-10,"10,320",27,135192
107/06/09,104 台北二,胡蘿蔔,16.8,12.8,7.6,12.6,-4,"9,730",-6,122598
107/06/10,104 台北二,胡蘿蔔,20.3,13.5,8.2,13.8,10,"10,500",8,144900
107/06/12,104 台北二,胡蘿蔔,21.7,14.4,9.2,14.8,7,"10,100",-4,149480
107/06/13,104 台北二,胡蘿蔔,20.4,13.3,7.7,13.6,-8,"10,210",1,138856
107/06/14,104 台北二,胡蘿蔔,20.9,14.8,9.5,15,10,"9,325",-9,139875
107/06/15,104 台北二,胡蘿蔔,20.8,15.5,10.9,15.6,4,"9,678",4,150976.8
107/06/16,104 台北二,胡蘿蔔,19.9,14.9,10.6,15.1,-3,"11,160",15,168516
107/06/17,104 台北二,胡蘿蔔,18.5,12.9,7.7,13,-14,"13,100",17,170300
107/06/18,104 台北二,胡蘿蔔,20.2,12,7.5,12.8,-2,"9,910",-24,126848
107/06/21,104 台北二,胡蘿蔔,22,13.8,8.5,14.4,12,"11,995",21,172728
107/06/22,104 台北二,胡蘿蔔,19.3,12.9,7.8,13.2,-8,"9,756",-19,128779.2
107/06/23,104 台北二,胡蘿蔔,19.1,12,8.4,12.7,-4,"9,360",-4,118872
107/06/24,104 台北二,胡蘿蔔,17.9,11.2,6.4,11.6,-9,"10,180",9,118088
107/06/26,104 台北二,胡蘿蔔,18.8,11.9,8.3,12.6,9,"9,850",-3,124110
107/06/27,104 台北二,胡蘿蔔,18.3,12.1,8.2,12.5,-1,"9,570",-3,119625
107/06/28,104 台北二,胡蘿蔔,19.1,11.6,7.2,12.2,-2,"8,890",-7,108458
107/06/29,104 台北二,胡蘿蔔,16,11.6,6,11.3,-7,"8,480",-5,95824
107/06/30,104 台北二,胡蘿蔔,22.6,11.4,6.7,12.7,12,"9,712",15,123342.4
107/07/01,104 台北二,胡蘿蔔,19.3,10.7,5.7,11.4,-10,"9,710",0,110694
107/07/03,104 台北二,胡蘿蔔,23.8,12.6,8.9,14.1,24,"10,280",6,144948
107/07/04,104 台北二,胡蘿蔔,21.2,12.5,8.4,13.4,-5,"10,070",-2,134938
107/07/05,104 台北二,胡蘿蔔,21.1,12.4,7.9,13.2,-1,"9,760",-3,128832
107/07/06,104 台北二,胡蘿蔔,20.6,12.8,8.4,13.5,2,"10,898",12,147123
107/07/07,104 台北二,胡蘿蔔,20.4,13.1,7.1,13.4,-1,"11,300",4,151420
107/07/08,104 台北二,胡蘿蔔,22.2,13.8,8.8,14.5,8,"10,420",-8,151090
107/07/10,104 台北二,胡蘿蔔,23.4,15.2,10.8,16,10,"10,860",4,173760
107/07/11,104 台北二,胡蘿蔔,28.7,13,8,15.1,-6,"16,170",49,244167
107/07/12,104 台北二,胡蘿蔔,19.6,14.4,9.6,14.5,-4,"10,290",-36,149205
107/07/13,104 台北二,胡蘿蔔,16.5,11.7,8.9,12.1,-17,"9,660",-6,116886
107/07/14,104 台北二,胡蘿蔔,18.5,12.2,9,12.8,6,"8,800",-9,112640
107/07/15,104 台北二,胡蘿蔔,22.1,13.4,9.4,14.3,12,"8,110",-8,115973
107/07/17,104 台北二,胡蘿蔔,23.3,13.1,8.9,14.3,0,"10,300",27,147290
107/07/18,104 台北二,胡蘿蔔,23.5,14.1,9.2,15,5,"9,590",-7,143850
107/07/19,104 台北二,胡蘿蔔,21.2,13.6,7.8,13.9,-7,"9,780",2,135942
107/07/20,104 台北二,胡蘿蔔,22.5,14.4,9,14.9,7,"9,141",-7,136200.9
107/07/21,104 台北二,胡蘿蔔,20.5,15.2,9,15,1,"9,630",5,144450
107/07/22,104 台北二,胡蘿蔔,16.7,12.9,9,12.9,-14,"10,650",11,137385
107/07/24,104 台北二,胡蘿蔔,20.4,13.7,9.4,14.2,10,"9,310",-13,132202
107/07/25,104 台北二,胡蘿蔔,20.6,13.7,8.8,14.1,-1,"9,630",3,135783
107/07/26,104 台北二,胡蘿蔔,21.8,13.3,8.9,14.1,0,"10,430",8,147063
107/07/27,104 台北二,胡蘿蔔,20.9,12.4,7.5,13.1,-7,"10,090",-3,132179
107/07/28,104 台北二,胡蘿蔔,21.2,13.2,9.5,14.1,8,"9,559",-5,134781.9
107/07/29,104 台北二,胡蘿蔔,22,13.9,9.6,14.7,4,"9,040",-5,132888
107/07/31,104 台北二,胡蘿蔔,24.4,14,9.6,15.2,3,"9,940",10,151088
107/08/01,104 台北二,胡蘿蔔,22,13.6,6.9,14,-8,"9,960",0,139440
107/08/02,104 台北二,胡蘿蔔,21.4,14.1,7,14.1,1,"9,700",-3,136770
107/08/03,104 台北二,胡蘿蔔,20.5,13.8,7.2,13.8,-2,"10,420",7,143796
107/08/04,104 台北二,胡蘿蔔,20.9,14.9,8.6,14.8,7,"10,786",4,159632.8
107/08/05,104 台北二,胡蘿蔔,19.4,13.1,6.3,13,-12,"12,390",15,161070
107/08/07,104 台北二,胡蘿蔔,23.2,14.4,8,14.9,15,"12,085",-2,180066.5
107/08/08,104 台北二,胡蘿蔔,20.3,12.9,8,13.4,-10,"10,885",-10,145859
107/08/09,104 台北二,胡蘿蔔,21.4,13.3,7.2,13.7,2,"9,910",-9,135767
107/08/10,104 台北二,胡蘿蔔,21.8,14.1,8.4,14.5,6,"9,100",-8,131950
107/08/11,104 台北二,胡蘿蔔,23.2,14.7,8.7,15.2,5,"9,482",4,144126.4
107/08/12,104 台北二,胡蘿蔔,22.4,14.6,9.8,15.2,0,"9,780",3,148656
107/08/14,104 台北二,胡蘿蔔,22.4,15,8.8,15.2,0,"10,080",3,153216
107/08/15,104 台北二,胡蘿蔔,26.1,14.6,9.6,15.9,5,"10,395",3,165280.5
107/08/16,104 台北二,胡蘿蔔,21.7,13.5,9.8,14.4,-9,"10,215",-2,147096
107/08/17,104 台北二,胡蘿蔔,21.7,13.2,10,14.3,-1,"9,920",-3,141856
107/08/18,104 台北二,胡蘿蔔,27.5,12.9,8.6,15,5,"10,738",8,161070
107/08/19,104 台北二,胡蘿蔔,23,14.9,10.2,15.6,4,"8,990",-16,140244
107/08/21,104 台北二,胡蘿蔔,25.6,14.4,9.8,15.7,1,"11,090",23,174113
107/08/22,104 台北二,胡蘿蔔,26.1,14.4,8.2,15.5,-1,"11,488",4,178064
107/08/23,104 台北二,胡蘿蔔,22.7,14.7,10,15.4,-1,"9,100",-21,140140
107/08/24,104 台北二,胡蘿蔔,23.2,17.1,11.4,17.1,11,"8,770",-4,149967
107/08/25,104 台北二,胡蘿蔔,32,18.8,12.3,20.2,18,"11,156",27,225351.2
107/08/28,104 台北二,胡蘿蔔,30.3,22.8,12.7,22.3,10,"11,100",-1,247530
107/08/29,104 台北二,胡蘿蔔,30.3,22.1,13.3,22,-1,"12,544",13,275968
107/08/30,104 台北二,胡蘿蔔,27.1,21.4,13.2,20.9,-5,"13,640",9,285076
107/08/31,104 台北二,胡蘿蔔,25.2,19.6,12.8,19.4,-7,"12,380",-9,240172
107/09/01,104 台北二,胡蘿蔔,28.2,19.1,14,19.9,3,"11,267",-9,224213.3
107/09/02,104 台北二,胡蘿蔔,23.4,18.5,11.9,18.1,-9,"11,140",-1,201634
107/09/04,104 台北二,胡蘿蔔,31.4,22,15.3,22.5,24,"8,445",-24,190012.5
107/09/05,104 台北二,胡蘿蔔,32.8,22,15.5,22.8,1,"9,426",12,214912.8
107/09/06,104 台北二,胡蘿蔔,28.4,22.4,12.8,21.6,-5,"10,080",7,217728
107/09/07,104 台北二,胡蘿蔔,28.7,21,12.7,20.9,-3,"9,740",-3,203566
107/09/08,104 台北二,胡蘿蔔,32.8,21.9,13.3,22.4,7,"10,058",3,225299.2
107/09/09,104 台北二,胡蘿蔔,33.5,23.1,17,24,7,"8,788",-13,210912
107/09/11,104 台北二,胡蘿蔔,33.9,23.7,16.1,24.2,1,"10,603",21,256592.6
107/09/12,104 台北二,胡蘿蔔,43.3,25.4,18,27.5,14,"10,122",-5,278355
107/09/13,104 台北二,胡蘿蔔,41.3,25.8,19.7,27.7,1,"9,810",-3,271737
107/09/14,104 台北二,胡蘿蔔,34.5,23.8,15.7,24.3,-12,"10,720",9,260496
107/09/15,104 台北二,胡蘿蔔,30.4,23.1,15.5,23,-5,"9,364",-13,215372
107/09/16,104 台北二,胡蘿蔔,26.6,21.8,13.5,21.1,-8,"9,590",2,202349
107/09/18,104 台北二,胡蘿蔔,27.4,22.4,16.3,22.2,5,"10,100",5,224220
107/09/19,104 台北二,胡蘿蔔,31.4,22.4,11.1,21.9,-1,"9,286",-8,203363.4
107/09/20,104 台北二,胡蘿蔔,29.1,24.7,15.3,23.7,8,"8,005",-14,189718.5
107/09/21,104 台北二,胡蘿蔔,27.9,24,15.9,23.2,-2,"7,640",-5,177248
107/09/22,104 台北二,胡蘿蔔,30.5,24.1,16.6,23.9,3,"9,388",23,224373.2
107/09/23,104 台北二,胡蘿蔔,29.5,24.3,13.2,23.1,-3,"9,590",2,221529
107/09/24,104 台北二,胡蘿蔔,25.7,19.5,12,19.3,-16,"4,800",-50,92640
107/09/27,104 台北二,胡蘿蔔,35.6,25.5,19.2,26.2,36,"8,782",83,230088.4
107/09/28,104 台北二,胡蘿蔔,29.5,24.7,16.5,24,-8,"8,530",-3,204720
107/09/29,104 台北二,胡蘿蔔,33.4,25.4,18.1,25.6,7,"9,778",15,250316.8
107/09/30,104 台北二,胡蘿蔔,32.5,27.1,20.3,26.8,5,"8,770",-10,235036
107/10/02,104 台北二,胡蘿蔔,31.5,26.9,16.8,25.8,-4,"9,990",14,257742
107/10/03,104 台北二,胡蘿蔔,33,25.9,17,25.6,-1,"10,190",2,260864
107/10/04,104 台北二,胡蘿蔔,30,25.4,16.7,24.6,-4,"8,625",-15,212175
107/10/05,104 台北二,胡蘿蔔,28.5,23.7,11.9,22.3,-9,"10,500",22,234150
107/10/06,104 台北二,胡蘿蔔,32.1,25.2,15.8,24.7,11,"8,300",-21,205010
107/10/07,104 台北二,胡蘿蔔,28.5,24.4,13.8,23.1,-6,"8,610",4,198891
107/10/09,104 台北二,胡蘿蔔,33.4,28.5,16.9,27.1,17,"8,660",1,234686
107/10/10,104 台北二,胡蘿蔔,28.6,22.8,10.9,21.6,-20,"10,170",17,219672
107/10/11,104 台北二,胡蘿蔔,33.5,21.2,11.3,21.7,0,"8,796",-14,190873.2
107/10/12,104 台北二,胡蘿蔔,29.3,21.9,14.2,21.8,0,"7,750",-12,168950
107/10/13,104 台北二,胡蘿蔔,32.7,22.9,12.5,22.8,5,"8,340",8,190152
107/10/14,104 台北二,胡蘿蔔,31.8,23.2,12.9,22.8,0,"7,810",-6,178068
107/10/16,104 台北二,胡蘿蔔,31.2,25,15.6,24.3,7,"9,350",20,227205
107/10/17,104 台北二,胡蘿蔔,34.5,23.7,14.6,24,-1,"9,735",4,233640
107/10/18,104 台北二,胡蘿蔔,31.9,23.5,12.5,23,-4,"8,530",-12,196190
107/10/19,104 台北二,胡蘿蔔,31.2,23.9,12.8,23.2,1,"8,774",3,203556.8
107/10/20,104 台北二,胡蘿蔔,34.7,21.9,9.3,21.9,-6,"9,556",9,209276.4
107/10/21,104 台北二,胡蘿蔔,29.6,23.1,9.2,21.6,-1,"8,390",-12,181224
107/10/23,104 台北二,胡蘿蔔,31.2,25.2,15.4,24.5,13,"9,200",10,225400
107/10/24,104 台北二,胡蘿蔔,35.5,25.1,12.9,24.8,1,"7,885",-14,195548
107/10/25,104 台北二,胡蘿蔔,29.4,24.2,15.5,23.5,-5,"9,230",17,216905
107/10/26,104 台北二,胡蘿蔔,28.1,23.5,13.6,22.4,-5,"9,660",5,216384
107/10/27,104 台北二,胡蘿蔔,31.9,23.5,16,23.7,6,"9,629",0,228207.3
107/10/28,104 台北二,胡蘿蔔,25.8,20.9,12.8,20.2,-15,"10,940",14,220988
107/10/30,104 台北二,胡蘿蔔,28.6,22.1,12.3,21.4,6,"10,370",-5,221918
107/10/31,104 台北二,胡蘿蔔,31.8,22.4,11.7,22.1,3,"9,802",-5,216624.2
107/11/01,104 台北二,胡蘿蔔,26.3,20.6,11.6,19.9,-10,"8,400",-14,167160
107/11/02,104 台北二,胡蘿蔔,26.2,21.9,14.5,21.3,7,"7,470",-11,159111
107/11/03,104 台北二,胡蘿蔔,31.7,23.1,11.5,22.5,6,"8,142",9,183195
107/11/04,104 台北二,胡蘿蔔,26.7,22.3,12,21.1,-6,"8,640",6,182304
107/11/06,104 台北二,胡蘿蔔,27.6,23.7,12,22.1,5,"9,840",14,217464
107/11/07,104 台北二,胡蘿蔔,27.8,23.6,16.2,23,4,"8,840",-10,203320
